VenueType,Venue,Year,DOI,pages
Conference,ICSE,2021,10.1109/ICSE43902.2021.00133,13
Conference,ICSE,2021,10.1109/ICSE43902.2021.00134,12
Conference,ICSE,2021,10.1109/ICSE43902.2021.00135,13
Conference,ICSE,2021,10.1109/ICSE43902.2021.00136,12
Conference,ICSE,2021,10.1109/ICSE43902.2021.00025,12
Conference,ICSE,2021,10.1109/ICSE43902.2021.00137,13
Conference,ICSE,2021,10.1109/ICSE43902.2021.00138,13
Conference,ICSE,2021,10.1109/ICSE43902.2021.00139,11
Conference,ICSE,2021,10.1109/ICSE43902.2021.00140,13
Conference,ICSE,2021,10.1109/ICSE43902.2021.00141,13
Conference,ICSE,2021,10.1109/ICSE43902.2021.00142,12
Conference,ICSE,2021,10.1109/ICSE43902.2021.00143,12
Conference,ICSE,2021,10.1109/ICSE43902.2021.00144,12
Conference,ICSE,2021,10.1109/ICSE43902.2021.00145,12
Conference,ICSE,2021,10.1109/ICSE43902.2021.00146,12
Conference,ICSE,2021,10.1109/ICSE43902.2021.00026,13
Conference,ICSE,2021,10.1109/ICSE43902.2021.00147,13
Conference,ICSE,2021,10.1109/ICSE43902.2021.00148,12
Conference,ICSE,2021,10.1109/ICSE43902.2021.00149,12
Conference,ICSE,2021,10.1109/ICSE43902.2021.00150,13
Conference,ICSE,2021,10.1109/ICSE43902.2021.00151,11
Conference,ICSE,2021,10.1109/ICSE43902.2021.00027,12
Conference,ICSE,2021,10.1109/ICSE43902.2021.00028,13
Conference,ICSE,2021,10.1109/ICSE43902.2021.00029,13
Conference,ICSE,2021,10.1109/ICSE43902.2021.00030,12
Conference,ICSE,2021,10.1109/ICSE43902.2021.00031,13
Conference,ICSE,2021,10.1109/ICSE43902.2021.00014,12
Conference,ICSE,2021,10.1109/ICSE43902.2021.00032,12
Conference,ICSE,2021,10.1109/ICSE43902.2021.00033,13
